ADM_CD,구,행정동명,법정동추정명,지도기준일자,기준연월,세대수,총인구,19세이상인구,65세이상인구,생산가능인구_19_64세,세대당_총인구,생산가능인구비율_19_64세,65세이상인구비율,법정동명,매매가_평당_중앙값,전세보증금_평당_중앙값,월세_평당_중앙값
31021510,수정구,신흥1동,신흥동,20250630,2026-03,7409,11971,11256,3178,8078,1.6157376164124713,0.6747974271155291,0.26547489766936766,신흥동,2620.623187948542,1416.9640766438447,4.632189086739767
31021520,수정구,신흥2동,신흥동,20250630,2026-03,12310,31527,26618,5319,21299,2.5610885458976442,0.6755796618771212,0.16871253211532972,신흥동,2620.623187948542,1416.9640766438447,4.632189086739767
31021530,수정구,신흥3동,신흥동,20250630,2026-03,6455,10623,9957,2640,7317,1.64570100697134,0.6887884778311212,0.24851736797514826,신흥동,2620.623187948542,1416.9640766438447,4.632189086739767
31021540,수정구,태평1동,태평동,20250630,2026-03,8252,13530,12795,3647,9148,1.6396025206010665,0.6761271249076127,0.2695491500369549,태평동,1743.7829369411002,1441.2144388095555,5.381810352403777
31021550,수정구,태평2동,태평동,20250630,2026-03,7535,13568,12549,3425,9124,1.8006635700066358,0.6724646226415094,0.2524321933962264,태평동,1743.7829369411002,1441.2144388095555,5.381810352403777
31021560,수정구,태평3동,태평동,20250630,2026-03,6299,11497,10612,3071,7541,1.8252103508493411,0.6559102374532487,0.2671131599547708,태평동,1743.7829369411002,1441.2144388095555,5.381810352403777
31021570,수정구,태평4동,태평동,20250630,2026-03,5907,10833,9893,2680,7213,1.8339258506856273,0.6658358718729807,0.2473922274531524,태평동,1743.7829369411002,1441.2144388095555,5.381810352403777
31021580,수정구,수진1동,수진동,20250630,2026-03,6674,10701,10151,3225,6926,1.6033862750973928,0.6472292309129988,0.3013737033922063,수진동,2570.116626564391,1223.0403378947694,5.146436077351844
31021590,수정구,수진2동,수진동,20250630,2026-03,7480,14263,13169,4045,9124,1.9068181818181817,0.639697118418285,0.2836009254714997,수진동,2570.116626564391,1223.0403378947694,5.146436077351844
31021600,수정구,단대동,단대동,20250630,2026-03,6508,14102,12565,3361,9204,2.1668715427166565,0.6526733796624592,0.23833498794497235,단대동,1500.7414880201768,956.8608776844071,3.4730398331906303
31021610,수정구,산성동,산성동,20250630,2026-03,2093,4377,3942,1143,2799,2.091256569517439,0.6394790952707334,0.26113776559287183,산성동,3624.945861876922,944.3736196858886,4.007946285692905
31021620,수정구,양지동,양지동,20250630,2026-03,4249,8842,8038,2239,5799,2.0809602259355144,0.6558470934177788,0.25322325265776974,양지동,1520.8975694444446,1067.5825141297037,3.896121428571428
31021670,수정구,복정동,복정동,20250630,2026-03,7875,13540,11817,1512,10305,1.7193650793650794,0.7610782865583456,0.11166912850812408,복정동,1711.0322664530463,1200.6537530266344,5.794566170026293
31021680,수정구,위례동,위례동,20250630,2026-03,18748,45248,36691,7380,29311,2.413484104971197,0.6477855374823197,0.1631011315417256,,,,
31021640,수정구,신촌동,신촌동,20250630,2026-03,1991,4452,3676,624,3052,2.236062280261175,0.6855345911949685,0.14016172506738545,신촌동,1863.7298962917525,1096.7090762583068,5.051065835732301
31021650,수정구,고등동,고등동,20250630,2026-03,5280,11670,9876,1821,8055,2.210227272727273,0.6902313624678663,0.15604113110539847,고등동,4228.0648932811855,2450.7578253706756,4.903959168512561
31021660,수정구,시흥동,시흥동,20250630,2026-03,2180,3592,3342,749,2593,1.6477064220183486,0.7218819599109132,0.20851893095768373,시흥동,2455.5738091495045,1520.6162371419189,4.347927765082267
31022510,중원구,성남동,성남동,20250630,2026-03,18466,31792,29460,7267,22193,1.721650601104733,0.6980686965274283,0.22857951685958733,성남동,2002.2925129232513,1469.1341689194821,4.905328473581213
31022620,중원구,중앙동,중앙동,20250630,2026-03,7524,16540,14218,3312,10906,2.1982987772461455,0.6593712212817412,0.20024183796856107,중앙동,1974.8354373309287,920.8356545961004,3.372691719095392
31022530,중원구,금광1동,금광동,20250630,2026-03,8249,19592,16339,2977,13362,2.375075766759607,0.6820130665577787,0.15194977541853819,금광동,1526.484263711564,1481.137266893806,4.968340079742049
31022540,중원구,금광2동,금광동,20250630,2026-03,11839,23230,21041,5420,15621,1.962158966128896,0.6724494188549289,0.23331898407232027,금광동,1526.484263711564,1481.137266893806,4.968340079742049
31022550,중원구,은행1동,은행동,20250630,2026-03,4408,9259,8289,1964,6325,2.1004990925589837,0.6831191273355653,0.21211793930230047,은행동,1796.685289657296,1073.6613048465722,3.2826766956201574
31022560,중원구,은행2동,은행동,20250630,2026-03,10561,20383,18768,5317,13451,1.930025565760818,0.6599126723249767,0.2608546337634303,은행동,1796.685289657296,1073.6613048465722,3.2826766956201574
31022570,중원구,상대원1동,상대원동,20250630,2026-03,11516,22293,20170,5428,14742,1.935828412643279,0.6612838110617683,0.2434845018615709,상대원동,1986.8252333895425,1207.5139981904463,3.7278998398643557
31022580,중원구,상대원2동,상대원동,20250630,2026-03,1515,2890,2623,751,1872,1.9075907590759076,0.6477508650519032,0.2598615916955017,상대원동,1986.8252333895425,1207.5139981904463,3.7278998398643557
31022590,중원구,상대원3동,상대원동,20250630,2026-03,6304,11010,10160,3032,7128,1.7465101522842639,0.6474114441416894,0.275386012715713,상대원동,1986.8252333895425,1207.5139981904463,3.7278998398643557
31022600,중원구,하대원동,하대원동,20250630,2026-03,8365,19467,17240,4487,12753,2.3271966527196652,0.6551086453999075,0.23049262855088098,하대원동,1569.590942293645,1524.8189145646709,3.4303247854943186
31022610,중원구,도촌동,도촌동,20250630,2026-03,10843,25686,21577,4850,16727,2.3689015954994006,0.6512107762983727,0.18881881180409563,도촌동,3093.7151265450266,1666.8038966576094,3.758762059939918
31023510,분당구,분당동,분당동,20250630,2026-03,10065,24357,20590,4441,16149,2.4199701937406854,0.6630126862914152,0.182329515129121,분당동,2910.0120447158642,1423.2864852825644,4.378733276602389
31023530,분당구,수내1동,수내동,20250630,2026-03,7871,17827,14692,2616,12076,2.264896455342396,0.6773994502720593,0.14674370337129075,수내동,2149.160756501182,1820.6274287773117,5.361814871928308
31023540,분당구,수내2동,수내동,20250630,2026-03,3193,10344,7598,1264,6334,3.2395865956780456,0.6123356535189481,0.12219644238205724,수내동,2149.160756501182,1820.6274287773117,5.361814871928308
31023520,분당구,수내3동,수내동,20250630,2026-03,5130,13158,10400,1589,8811,2.5649122807017544,0.6696306429548564,0.12076303389572883,수내동,2149.160756501182,1820.6274287773117,5.361814871928308
31023780,분당구,정자동,정자동,20250630,2026-03,6248,13712,11804,2391,9413,2.1946222791293213,0.6864789964994166,0.17437281213535588,정자동,3949.9673246036277,2270.3250983417465,5.679548055555555
31023770,분당구,정자1동,정자동,20250630,2026-03,14112,30369,25580,4398,21182,2.151998299319728,0.6974875695610656,0.14481872962560505,정자동,3949.9673246036277,2270.3250983417465,5.679548055555555
31023550,분당구,정자2동,정자동,20250630,2026-03,7098,13886,12229,2863,9366,1.9563257255564948,0.6744922943972346,0.2061788852081233,정자동,3949.9673246036277,2270.3250983417465,5.679548055555555
31023560,분당구,정자3동,정자동,20250630,2026-03,6644,16491,13663,2576,11087,2.48208910295003,0.6723061063610454,0.15620641562064155,정자동,3949.9673246036277,2270.3250983417465,5.679548055555555
31023580,분당구,서현1동,서현동,20250630,2026-03,12685,30588,25319,4589,20730,2.411351990540008,0.6777167516673205,0.15002615404733882,서현동,2532.241512806894,1837.4446338395442,5.871535273924618
31023590,분당구,서현2동,서현동,20250630,2026-03,6546,17215,14392,2868,11524,2.62985029025359,0.6694162067963985,0.16659889631135638,서현동,2532.241512806894,1837.4446338395442,5.871535273924618
31023600,분당구,이매1동,이매동,20250630,2026-03,9031,24534,20217,4041,16176,2.7166426752297643,0.6593299095133285,0.16471019809244314,이매동,3228.39628191552,1960.375573596894,5.005478855890234
31023610,분당구,이매2동,이매동,20250630,2026-03,4368,12768,10462,2457,8005,2.923076923076923,0.6269580200501254,0.1924342105263158,이매동,3228.39628191552,1960.375573596894,5.005478855890234
31023620,분당구,야탑1동,야탑동,20250630,2026-03,7563,16467,14475,3502,10973,2.1773105910353037,0.66636302908848,0.21266775976194813,야탑동,3213.740333193351,1745.49934826782,5.678811801984313
31023640,분당구,야탑2동,야탑동,20250630,2026-03,5995,15551,13110,3587,9523,2.593994995829858,0.6123721947141663,0.23066040769082374,야탑동,3213.740333193351,1745.49934826782,5.678811801984313
31023630,분당구,야탑3동,야탑동,20250630,2026-03,12729,26547,23452,5568,17884,2.085552674994108,0.6736731080724753,0.20974121369646287,야탑동,3213.740333193351,1745.49934826782,5.678811801984313
31023710,분당구,금곡동,금곡동,20250630,2026-03,11972,26667,23323,5837,17486,2.227447377213498,0.6557168035399558,0.21888476394045076,금곡동,2242.880290742858,1639.5088431170616,6.203476543209877
31023670,분당구,구미동,구미동,20250630,2026-03,12639,27854,24456,6176,18280,2.2038135928475353,0.6562791699576362,0.2217275795217922,구미동,2613.6279202256655,1844.015329254878,6.089262512503403
31023720,분당구,구미1동,구미동,20250630,2026-03,6914,16037,13850,2867,10983,2.319496673416257,0.6848537756438237,0.1787740849286026,구미동,2613.6279202256655,1844.015329254878,6.089262512503403
31023750,분당구,판교동,판교동,20250630,2026-03,8983,26324,20285,3123,17162,2.9304241344762327,0.651952590791673,0.1186369852605987,판교동,4292.618955995682,2444.8901837490694,3.4386487829425896
31023740,분당구,삼평동,삼평동,20250630,2026-03,9090,23520,19047,3253,15794,2.5874587458745872,0.6715136054421769,0.1383078231292517,삼평동,5375.55381461988,3169.8739638814004,7.317661501205636
31023760,분당구,백현동,백현동,20250630,2026-03,10532,26189,21928,4267,17661,2.486612229396126,0.6743671006911298,0.1629310015655428,백현동,4253.440548308325,2296.4365068919624,6.193646248717922
31023680,분당구,운중동,운중동,20250630,2026-03,14082,38610,30642,4708,25934,2.7417980400511293,0.6716912716912717,0.12193732193732194,운중동,3774.2617825435323,2320.582801007054,6.8808463941235605
