ADM_CD,행정동명,법정동추정명,지도기준일자
31021510,신흥1동,신흥동,20250630
31021520,신흥2동,신흥동,20250630
31021530,신흥3동,신흥동,20250630
31021540,태평1동,태평동,20250630
31021550,태평2동,태평동,20250630
31021560,태평3동,태평동,20250630
31021570,태평4동,태평동,20250630
31021580,수진1동,수진동,20250630
31021590,수진2동,수진동,20250630
31021600,단대동,단대동,20250630
31021610,산성동,산성동,20250630
31021620,양지동,양지동,20250630
31021640,신촌동,신촌동,20250630
31021650,고등동,고등동,20250630
31021660,시흥동,시흥동,20250630
31021670,복정동,복정동,20250630
31021680,위례동,위례동,20250630
31022510,성남동,성남동,20250630
31022530,금광1동,금광동,20250630
31022540,금광2동,금광동,20250630
31022550,은행1동,은행동,20250630
31022560,은행2동,은행동,20250630
31022570,상대원1동,상대원동,20250630
31022580,상대원2동,상대원동,20250630
31022590,상대원3동,상대원동,20250630
31022600,하대원동,하대원동,20250630
31022610,도촌동,도촌동,20250630
31022620,중앙동,중앙동,20250630
31023510,분당동,분당동,20250630
31023520,수내3동,수내동,20250630
31023530,수내1동,수내동,20250630
31023540,수내2동,수내동,20250630
31023550,정자2동,정자동,20250630
31023560,정자3동,정자동,20250630
31023580,서현1동,서현동,20250630
31023590,서현2동,서현동,20250630
31023600,이매1동,이매동,20250630
31023610,이매2동,이매동,20250630
31023620,야탑1동,야탑동,20250630
31023630,야탑3동,야탑동,20250630
31023640,야탑2동,야탑동,20250630
31023670,구미동,구미동,20250630
31023680,운중동,운중동,20250630
31023710,금곡동,금곡동,20250630
31023720,구미1동,구미동,20250630
31023740,삼평동,삼평동,20250630
31023750,판교동,판교동,20250630
31023760,백현동,백현동,20250630
31023770,정자1동,정자동,20250630
31023780,정자동,정자동,20250630
